Data Structure,Number of Nodes,Density,User Time,Add Time,GetNext Time,Update Time
Bucket Queue,1000,0.01,0.4137,0.0207,0.0131,0.0874
LL Priority Queue,1000,0.01,0.3461,0.0048,0.0009,0.2341
Priority Queue,1000,0.01,0.1385,0.0005,0.0181,0.0286
Binary Heap,1000,0.01,0.8642,0.1477,0.1069,0.5144
Bucket Queue,1000,0.01,0.0754,0.0025,0.0014,0.0290
LL Priority Queue,1000,0.01,0.1878,0.0019,0.0003,0.1438
Priority Queue,1000,0.01,0.0700,0.0005,0.0092,0.0211
Binary Heap,1000,0.01,0.6154,0.1492,0.0518,0.3742
Bucket Queue,1000,0.01,0.1881,0.0028,0.0066,0.0285
LL Priority Queue,1000,0.01,0.3731,0.0066,0.0013,0.2108
Priority Queue,1000,0.01,0.2175,0.0004,0.0255,0.0304
Binary Heap,1000,0.01,1.0130,0.1500,0.1465,0.5546
Bucket Queue,1000,0.01,0.1390,0.0021,0.0045,0.0265
LL Priority Queue,1000,0.01,0.3217,0.0021,0.0009,0.2099
Priority Queue,1000,0.01,0.1631,0.0053,0.0203,0.0302
Binary Heap,1000,0.01,0.9080,0.1584,0.1106,0.5372
Bucket Queue,1000,0.01,0.0759,0.0023,0.0017,0.0247
LL Priority Queue,1000,0.01,0.2189,0.0019,0.0004,0.1658
Priority Queue,1000,0.01,0.0865,0.0006,0.0116,0.0245
Binary Heap,1000,0.01,0.6984,0.1590,0.0633,0.4260
Bucket Queue,1000,0.01,0.1454,0.0027,0.0059,0.0281
LL Priority Queue,1000,0.01,0.3214,0.0021,0.0009,0.2091
Priority Queue,1000,0.01,0.1655,0.0005,0.0216,0.0305
Binary Heap,1000,0.01,0.9477,0.1632,0.1198,0.5519
Bucket Queue,1000,0.01,0.1736,0.0070,0.0046,0.0293
LL Priority Queue,1000,0.01,0.3443,0.0022,0.0011,0.2114
Priority Queue,1000,0.01,0.1732,0.0005,0.0222,0.0317
Binary Heap,1000,0.01,0.9587,0.1574,0.1253,0.5537
Bucket Queue,1000,0.01,0.0187,0.0027,0.0003,0.0091
LL Priority Queue,1000,0.01,0.0507,0.0194,0.0001,0.0244
Priority Queue,1000,0.01,0.0141,0.0004,0.0017,0.0052
Binary Heap,1000,0.01,0.2715,0.1586,0.0104,0.0949
Bucket Queue,1000,0.01,0.2702,0.0034,0.0093,0.0287
LL Priority Queue,1000,0.01,0.4577,0.0022,0.0018,0.2259
Priority Queue,1000,0.01,0.3056,0.0054,0.0304,0.0345
Binary Heap,1000,0.01,1.1895,0.1640,0.1722,0.6142
Bucket Queue,1000,0.01,0.2542,0.0028,0.0114,0.0285
LL Priority Queue,1000,0.01,0.4498,0.0021,0.0018,0.2212
Priority Queue,1000,0.01,0.3006,0.0005,0.0309,0.0355
Binary Heap,1000,0.01,1.1613,0.1641,0.1697,0.5950
Bucket Queue,1000,0.01,0.1419,0.0028,0.0051,0.0296
LL Priority Queue,1000,0.01,0.3382,0.0023,0.0009,0.2251
Priority Queue,1000,0.01,0.1623,0.0006,0.0210,0.0340
Binary Heap,1000,0.01,0.9408,0.1629,0.1139,0.5600
Bucket Queue,1000,0.01,0.1267,0.0069,0.0032,0.0271
LL Priority Queue,1000,0.01,0.2906,0.0024,0.0007,0.2005
Priority Queue,1000,0.01,0.1304,0.0005,0.0176,0.0292
Binary Heap,1000,0.01,0.9035,0.1716,0.1018,0.5418
Bucket Queue,1000,0.01,0.0956,0.0024,0.0022,0.0266
LL Priority Queue,1000,0.01,0.2621,0.0085,0.0006,0.1859
Priority Queue,1000,0.01,0.1059,0.0010,0.0143,0.0270
Binary Heap,1000,0.01,0.8277,0.1633,0.0855,0.5072
Bucket Queue,1000,0.01,0.1480,0.0024,0.0037,0.0290
LL Priority Queue,1000,0.01,0.3310,0.0081,0.0009,0.2128
Priority Queue,1000,0.01,0.1608,0.0006,0.0209,0.0306
Binary Heap,1000,0.01,0.9986,0.1730,0.1248,0.5842
Bucket Queue,1000,0.01,0.0796,0.0026,0.0017,0.0261
LL Priority Queue,1000,0.01,0.2388,0.0022,0.0005,0.1774
Priority Queue,1000,0.01,0.0883,0.0007,0.0121,0.0239
Binary Heap,1000,0.01,0.7345,0.1699,0.0678,0.4429
Bucket Queue,1000,0.01,0.0083,0.0027,0.0001,0.0032
LL Priority Queue,1000,0.01,0.0104,0.0018,0.0000,0.0062
Priority Queue,1000,0.01,0.0058,0.0004,0.0007,0.0021
Binary Heap,1000,0.01,0.2067,0.1681,0.0034,0.0326
Bucket Queue,1000,0.01,0.2755,0.0062,0.0111,0.0303
LL Priority Queue,1000,0.01,0.4732,0.0025,0.0018,0.2520
Priority Queue,1000,0.01,0.2733,0.0005,0.0309,0.0345
Binary Heap,1000,0.01,1.2338,0.1663,0.1808,0.6651
Bucket Queue,1000,0.01,0.1836,0.0024,0.0059,0.0340
LL Priority Queue,1000,0.01,0.3750,0.0025,0.0012,0.2379
Priority Queue,1000,0.01,0.1991,0.0006,0.0253,0.0356
Binary Heap,1000,0.01,1.0668,0.1651,0.1424,0.6208
Bucket Queue,1000,0.01,0.1843,0.0024,0.0060,0.0298
LL Priority Queue,1000,0.01,0.4055,0.0087,0.0012,0.2476
Priority Queue,1000,0.01,0.1979,0.0006,0.0250,0.0358
Binary Heap,1000,0.01,1.1040,0.1760,0.1487,0.6316
Bucket Queue,1000,0.01,0.2614,0.0023,0.0092,0.0294
LL Priority Queue,1000,0.01,0.4617,0.0024,0.0018,0.2416
Priority Queue,1000,0.01,0.2974,0.0060,0.0316,0.0363
Binary Heap,1000,0.01,1.2558,0.1648,0.1867,0.6651
Bucket Queue,1000,0.01,0.2944,0.0024,0.0134,0.0307
LL Priority Queue,1000,0.01,0.5005,0.0024,0.0020,0.2537
Priority Queue,1000,0.01,0.3455,0.0005,0.0351,0.0381
Binary Heap,1000,0.01,1.2747,0.1725,0.1857,0.6566
Bucket Queue,1000,0.01,0.1587,0.0163,0.0047,0.0292
LL Priority Queue,1000,0.01,0.3635,0.0022,0.0010,0.2372
Priority Queue,1000,0.01,0.1730,0.0006,0.0222,0.0347
Binary Heap,1000,0.01,1.0445,0.1786,0.1323,0.6108
Bucket Queue,1000,0.01,0.1596,0.0024,0.0043,0.0326
LL Priority Queue,1000,0.01,0.3666,0.0023,0.0011,0.2366
Priority Queue,1000,0.01,0.1888,0.0005,0.0241,0.0356
Binary Heap,1000,0.01,1.0396,0.1728,0.1348,0.6032
Bucket Queue,1000,0.01,0.0052,0.0023,0.0000,0.0019
LL Priority Queue,1000,0.01,0.0110,0.0066,0.0000,0.0033
Priority Queue,1000,0.01,0.0027,0.0004,0.0003,0.0010
Binary Heap,1000,0.01,0.2016,0.1761,0.0020,0.0222
Bucket Queue,1000,0.01,0.2287,0.0040,0.0079,0.0325
LL Priority Queue,1000,0.01,0.4825,0.0068,0.0017,0.2682
Priority Queue,1000,0.01,0.2601,0.0006,0.0303,0.0363
Binary Heap,1000,0.01,1.1936,0.1772,0.1738,0.6508
Bucket Queue,1000,0.01,0.0361,0.0024,0.0005,0.0168
LL Priority Queue,1000,0.01,0.0764,0.0021,0.0001,0.0581
Priority Queue,1000,0.01,0.0360,0.0005,0.0046,0.0123
Binary Heap,1000,0.01,0.4215,0.1774,0.0231,0.2033
Bucket Queue,1000,0.01,0.0584,0.0035,0.0008,0.0248
LL Priority Queue,1000,0.01,0.1551,0.0019,0.0003,0.1227
Priority Queue,1000,0.01,0.0521,0.0006,0.0064,0.0182
Binary Heap,1000,0.01,0.6230,0.1760,0.0435,0.3701
Bucket Queue,1000,0.01,0.0969,0.0108,0.0024,0.0265
LL Priority Queue,1000,0.01,0.2759,0.0024,0.0006,0.2054
Priority Queue,1000,0.01,0.1054,0.0007,0.0139,0.0293
Binary Heap,1000,0.01,0.8043,0.1749,0.0749,0.4929
Bucket Queue,1000,0.01,0.0428,0.0031,0.0006,0.0228
LL Priority Queue,1000,0.01,0.0948,0.0019,0.0002,0.0745
Priority Queue,1000,0.01,0.0464,0.0006,0.0058,0.0168
Binary Heap,1000,0.01,0.4438,0.1721,0.0245,0.2287
Bucket Queue,1000,0.01,0.2776,0.0033,0.0081,0.0391
LL Priority Queue,1000,0.01,0.4662,0.0091,0.0017,0.2475
Priority Queue,1000,0.01,0.2733,0.0004,0.0305,0.0355
Binary Heap,1000,0.01,1.2808,0.1847,0.1852,0.6916
Bucket Queue,1000,0.01,0.0646,0.0023,0.0016,0.0250
LL Priority Queue,1000,0.01,0.2051,0.0020,0.0004,0.1592
Priority Queue,1000,0.01,0.0788,0.0067,0.0096,0.0233
Binary Heap,1000,0.01,0.7076,0.1835,0.0566,0.4233
Bucket Queue,1000,0.01,0.2325,0.0029,0.0086,0.0311
LL Priority Queue,1000,0.01,0.4622,0.0025,0.0017,0.2641
Priority Queue,1000,0.01,0.2537,0.0006,0.0310,0.0424
Binary Heap,1000,0.01,1.2286,0.1812,0.1736,0.6889
Bucket Queue,1000,0.01,0.0590,0.0025,0.0011,0.0255
LL Priority Queue,1000,0.01,0.1502,0.0023,0.0002,0.1187
Priority Queue,1000,0.01,0.0652,0.0007,0.0086,0.0216
Binary Heap,1000,0.01,0.5937,0.1729,0.0414,0.3480
Bucket Queue,1000,0.01,0.0219,0.0089,0.0001,0.0080
LL Priority Queue,1000,0.01,0.0280,0.0025,0.0001,0.0204
Priority Queue,1000,0.01,0.0093,0.0004,0.0010,0.0037
Binary Heap,1000,0.01,0.2687,0.1757,0.0075,0.0800
Bucket Queue,1000,0.01,0.1157,0.0034,0.0029,0.0290
LL Priority Queue,1000,0.01,0.3538,0.0270,0.0007,0.2353
Priority Queue,1000,0.01,0.1458,0.0006,0.0192,0.0341
Binary Heap,1000,0.01,0.9515,0.1758,0.1022,0.5854
Bucket Queue,1000,0.01,0.3042,0.0025,0.0105,0.0302
LL Priority Queue,1000,0.01,0.5526,0.0024,0.0023,0.2637
Priority Queue,1000,0.01,0.3402,0.0062,0.0332,0.0371
Binary Heap,1000,0.01,1.3358,0.1829,0.1904,0.6946
Bucket Queue,1000,0.01,0.2134,0.0024,0.0078,0.0317
LL Priority Queue,1000,0.01,0.4086,0.0027,0.0013,0.2503
Priority Queue,1000,0.01,0.2273,0.0006,0.0278,0.0371
Binary Heap,1000,0.01,1.2156,0.1753,0.1712,0.6928
Bucket Queue,1000,0.01,0.2133,0.0024,0.0064,0.0313
LL Priority Queue,1000,0.01,0.4315,0.0024,0.0015,0.2506
Priority Queue,1000,0.01,0.2452,0.0006,0.0303,0.0408
Binary Heap,1000,0.01,1.2165,0.1836,0.1698,0.6831
Bucket Queue,1000,0.01,0.1457,0.0078,0.0038,0.0292
LL Priority Queue,1000,0.01,0.3531,0.0028,0.0009,0.2393
Priority Queue,1000,0.01,0.1440,0.0007,0.0188,0.0333
Binary Heap,1000,0.01,0.9972,0.1864,0.1098,0.6069
Bucket Queue,1000,0.01,0.2814,0.0025,0.0115,0.0316
LL Priority Queue,1000,0.01,0.5408,0.0078,0.0036,0.2534
Priority Queue,1000,0.01,0.5919,0.0014,0.0739,0.0969
Binary Heap,1000,0.01,1.3491,0.1880,0.2013,0.6876
Bucket Queue,1000,0.01,0.1574,0.0031,0.0048,0.0351
LL Priority Queue,1000,0.01,0.3735,0.0078,0.0011,0.2447
Priority Queue,1000,0.01,0.1887,0.0006,0.0246,0.0405
Binary Heap,1000,0.01,1.1434,0.1772,0.1405,0.6946
Bucket Queue,1000,0.01,0.0749,0.0026,0.0020,0.0332
LL Priority Queue,1000,0.01,0.2379,0.0028,0.0005,0.1886
Priority Queue,1000,0.01,0.0914,0.0008,0.0127,0.0309
Binary Heap,1000,0.01,0.6993,0.2313,0.0491,0.3811
Bucket Queue,1000,0.01,0.1574,0.0038,0.0050,0.0369
LL Priority Queue,1000,0.01,0.3984,0.0023,0.0011,0.2756
Priority Queue,1000,0.01,0.1864,0.0006,0.0242,0.0392
Binary Heap,1000,0.01,1.3596,0.1805,0.1667,0.8635
Bucket Queue,1000,0.01,0.0354,0.0086,0.0003,0.0163
LL Priority Queue,1000,0.01,0.0589,0.0026,0.0001,0.0450
Priority Queue,1000,0.01,0.0218,0.0007,0.0026,0.0081
Binary Heap,1000,0.01,0.3927,0.2134,0.0151,0.1530
Bucket Queue,1000,0.01,0.1726,0.0037,0.0054,0.0390
LL Priority Queue,1000,0.01,0.4100,0.0027,0.0012,0.2677
Priority Queue,1000,0.01,0.2014,0.0006,0.0257,0.0382
Binary Heap,1000,0.01,1.1440,0.1939,0.1442,0.6720
Bucket Queue,1000,0.01,0.0265,0.0031,0.0003,0.0145
LL Priority Queue,1000,0.01,0.0520,0.0077,0.0001,0.0354
Priority Queue,1000,0.01,0.0168,0.0005,0.0020,0.0061
Binary Heap,1000,0.01,0.3357,0.1929,0.0122,0.1216
Bucket Queue,1000,0.01,0.0668,0.0042,0.0013,0.0271
LL Priority Queue,1000,0.01,0.2144,0.0092,0.0004,0.1610
Priority Queue,1000,0.01,0.0807,0.0008,0.0109,0.0251
Binary Heap,1000,0.01,0.7245,0.2080,0.0551,0.4178
Bucket Queue,1000,0.01,0.1524,0.0034,0.0037,0.0333
LL Priority Queue,1000,0.01,0.3833,0.0026,0.0010,0.2610
Priority Queue,1000,0.01,0.1798,0.0007,0.0237,0.0373
Binary Heap,1000,0.01,1.1223,0.2139,0.1293,0.6632
Bucket Queue,1000,0.01,0.1567,0.0029,0.0038,0.0305
LL Priority Queue,1000,0.01,0.3793,0.0028,0.0011,0.2503
Priority Queue,1000,0.01,0.1580,0.0006,0.0204,0.0311
Binary Heap,1000,0.01,1.1041,0.2041,0.1379,0.6345
Bucket Queue,1000,0.01,0.2669,0.0091,0.0107,0.0340
LL Priority Queue,1000,0.01,0.5418,0.0021,0.0021,0.3049
Priority Queue,1000,0.01,0.3042,0.0006,0.0351,0.0409
Binary Heap,1000,0.01,1.3198,0.2028,0.1903,0.7082
Bucket Queue,1000,0.01,0.2327,0.0029,0.0080,0.0338
LL Priority Queue,1000,0.01,0.5055,0.0074,0.0017,0.2861
Priority Queue,1000,0.01,0.2961,0.0006,0.0345,0.0434
Binary Heap,1000,0.01,1.2894,0.2039,0.1832,0.7016
Bucket Queue,1000,0.01,0.2163,0.0030,0.0086,0.0333
LL Priority Queue,1000,0.01,0.4333,0.0094,0.0014,0.2584
Priority Queue,1000,0.01,0.2599,0.0007,0.0340,0.0475
Binary Heap,1000,0.01,1.2370,0.1996,0.1651,0.7090
Bucket Queue,1000,0.01,0.0545,0.0033,0.0009,0.0246
LL Priority Queue,1000,0.01,0.1347,0.0020,0.0002,0.1044
Priority Queue,1000,0.01,0.0488,0.0007,0.0065,0.0162
Binary Heap,1000,0.01,0.5695,0.1908,0.0379,0.3120
Bucket Queue,1000,0.01,0.0846,0.0035,0.0018,0.0283
LL Priority Queue,1000,0.01,0.2550,0.0023,0.0005,0.1933
Priority Queue,1000,0.01,0.1083,0.0007,0.0147,0.0314
Binary Heap,1000,0.01,0.8329,0.1853,0.0735,0.5153
Bucket Queue,1000,0.01,0.1949,0.0072,0.0079,0.0333
LL Priority Queue,1000,0.01,0.4494,0.0022,0.0014,0.2839
Priority Queue,1000,0.01,0.2116,0.0007,0.0274,0.0395
Binary Heap,1000,0.01,1.4972,0.2137,0.1852,0.9246
Bucket Queue,1000,0.01,0.0592,0.0032,0.0007,0.0314
LL Priority Queue,1000,0.01,0.1270,0.0026,0.0002,0.1002
Priority Queue,1000,0.01,0.0554,0.0006,0.0073,0.0203
Binary Heap,1000,0.01,0.5432,0.1984,0.0319,0.2885
Bucket Queue,1000,0.01,0.2589,0.0046,0.0093,0.0378
LL Priority Queue,1000,0.01,0.4918,0.0094,0.0016,0.2823
Priority Queue,1000,0.01,0.2705,0.0005,0.0327,0.0438
Binary Heap,1000,0.01,1.3177,0.2000,0.1866,0.7315
Bucket Queue,1000,0.01,0.1266,0.0025,0.0030,0.0327
LL Priority Queue,1000,0.01,0.3241,0.0028,0.0008,0.2307
Priority Queue,1000,0.01,0.1519,0.0068,0.0206,0.0366
Binary Heap,1000,0.01,1.1059,0.1899,0.1204,0.6946
Bucket Queue,1000,0.01,0.2667,0.0031,0.0082,0.0425
LL Priority Queue,1000,0.01,0.5489,0.0026,0.0030,0.2936
Priority Queue,1000,0.01,0.3872,0.0009,0.0495,0.0622
Binary Heap,1000,0.01,1.3512,0.2113,0.1860,0.7499
Bucket Queue,1000,0.01,0.0817,0.0030,0.0015,0.0355
LL Priority Queue,1000,0.01,0.2344,0.0035,0.0004,0.1837
Priority Queue,1000,0.01,0.0765,0.0006,0.0103,0.0240
Binary Heap,1000,0.01,0.6854,0.1941,0.0534,0.3969
Bucket Queue,1000,0.01,0.2480,0.0097,0.0099,0.0378
LL Priority Queue,1000,0.01,0.4740,0.0051,0.0016,0.2893
Priority Queue,1000,0.01,0.2434,0.0007,0.0310,0.0413
Binary Heap,1000,0.01,1.3212,0.1852,0.1840,0.7659
Bucket Queue,1000,0.01,0.1217,0.0030,0.0030,0.0370
LL Priority Queue,1000,0.01,0.3681,0.0249,0.0007,0.2561
Priority Queue,1000,0.01,0.1269,0.0007,0.0171,0.0319
Binary Heap,1000,0.01,0.9903,0.2013,0.1022,0.5995
Bucket Queue,1000,0.01,0.1295,0.0031,0.0037,0.0341
LL Priority Queue,1000,0.01,0.3662,0.0024,0.0009,0.2630
Priority Queue,1000,0.01,0.1519,0.0073,0.0195,0.0354
Binary Heap,1000,0.01,1.0274,0.1847,0.1131,0.6333
Bucket Queue,1000,0.01,0.1426,0.0024,0.0044,0.0354
LL Priority Queue,1000,0.01,0.4125,0.0024,0.0011,0.2897
Priority Queue,1000,0.01,0.1618,0.0005,0.0218,0.0364
Binary Heap,1000,0.01,1.0851,0.1814,0.1275,0.6639
Bucket Queue,1000,0.01,0.2073,0.0032,0.0052,0.0377
LL Priority Queue,1000,0.01,0.4624,0.0026,0.0014,0.2922
Priority Queue,1000,0.01,0.2300,0.0006,0.0294,0.0420
Binary Heap,1000,0.01,1.3101,0.1856,0.1786,0.7684
Bucket Queue,1000,0.01,0.2282,0.0096,0.0085,0.0486
LL Priority Queue,1000,0.01,0.4725,0.0027,0.0016,0.3096
Priority Queue,1000,0.01,0.2496,0.0007,0.0343,0.0492
Binary Heap,1000,0.01,1.2017,0.2133,0.1533,0.6912
Bucket Queue,1000,0.01,0.0516,0.0027,0.0008,0.0244
LL Priority Queue,1000,0.01,0.1459,0.0096,0.0002,0.1096
Priority Queue,1000,0.01,0.0509,0.0006,0.0065,0.0182
Binary Heap,1000,0.01,0.5601,0.2059,0.0341,0.2946
Bucket Queue,1000,0.01,0.1032,0.0048,0.0023,0.0332
LL Priority Queue,1000,0.01,0.2736,0.0093,0.0006,0.1987
Priority Queue,1000,0.01,0.1173,0.0006,0.0161,0.0325
Binary Heap,1000,0.01,0.8408,0.1928,0.0775,0.5073
Bucket Queue,1000,0.01,0.0192,0.0034,0.0002,0.0102
LL Priority Queue,1000,0.01,0.0271,0.0023,0.0001,0.0193
Priority Queue,1000,0.01,0.0137,0.0006,0.0017,0.0055
Binary Heap,1000,0.01,0.3166,0.2143,0.0084,0.0877
Bucket Queue,1000,0.01,0.1306,0.0056,0.0032,0.0343
LL Priority Queue,1000,0.01,0.3154,0.0028,0.0007,0.2288
Priority Queue,1000,0.01,0.1441,0.0007,0.0194,0.0381
Binary Heap,1000,0.01,0.9496,0.1874,0.0961,0.5866
Bucket Queue,1000,0.01,0.0993,0.0076,0.0021,0.0319
LL Priority Queue,1000,0.01,0.2836,0.0022,0.0006,0.2126
Priority Queue,1000,0.01,0.1109,0.0006,0.0152,0.0307
Binary Heap,1000,0.01,0.8853,0.1857,0.0842,0.5473
Bucket Queue,1000,0.01,0.1775,0.0032,0.0051,0.0413
LL Priority Queue,1000,0.01,0.3937,0.0026,0.0012,0.2628
Priority Queue,1000,0.01,0.1908,0.0007,0.0252,0.0407
Binary Heap,1000,0.01,1.2493,0.2336,0.1524,0.7196
Bucket Queue,1000,0.01,0.3162,0.0030,0.0138,0.0371
LL Priority Queue,1000,0.01,0.5229,0.0097,0.0022,0.2735
Priority Queue,1000,0.01,0.3328,0.0005,0.0382,0.0427
Binary Heap,1000,0.01,1.3892,0.2021,0.2039,0.7258
Bucket Queue,1000,0.01,0.1838,0.0029,0.0052,0.0385
LL Priority Queue,1000,0.01,0.4100,0.0029,0.0012,0.2775
Priority Queue,1000,0.01,0.2019,0.0063,0.0263,0.0405
Binary Heap,1000,0.01,1.1766,0.1920,0.1490,0.6981
Bucket Queue,1000,0.01,0.0933,0.0031,0.0021,0.0318
LL Priority Queue,1000,0.01,0.2783,0.0026,0.0005,0.2110
Priority Queue,1000,0.01,0.1087,0.0006,0.0148,0.0310
Binary Heap,1000,0.01,0.8763,0.1884,0.0789,0.5450
Bucket Queue,1000,0.01,0.0611,0.0247,0.0006,0.0201
LL Priority Queue,1000,0.01,0.0888,0.0023,0.0002,0.0699
Priority Queue,1000,0.01,0.0389,0.0007,0.0048,0.0147
Binary Heap,1000,0.01,0.4887,0.2115,0.0236,0.2360
Bucket Queue,1000,0.01,0.0790,0.0043,0.0011,0.0367
LL Priority Queue,1000,0.01,0.1715,0.0027,0.0003,0.1335
Priority Queue,1000,0.01,0.0712,0.0007,0.0096,0.0215
Binary Heap,1000,0.01,0.6697,0.2115,0.0478,0.3725
Bucket Queue,1000,0.01,0.2695,0.0040,0.0088,0.0387
LL Priority Queue,1000,0.01,0.4858,0.0092,0.0018,0.2808
Priority Queue,1000,0.01,0.3219,0.0006,0.0408,0.0498
Binary Heap,1000,0.01,1.3006,0.2019,0.1787,0.7326
Bucket Queue,1000,0.01,0.2236,0.0040,0.0125,0.0407
LL Priority Queue,1000,0.01,0.4578,0.0024,0.0015,0.2916
Priority Queue,1000,0.01,0.2395,0.0063,0.0301,0.0388
Binary Heap,1000,0.01,1.2453,0.1971,0.1676,0.7142
Bucket Queue,1000,0.01,0.1238,0.0032,0.0033,0.0357
LL Priority Queue,1000,0.01,0.3263,0.0027,0.0007,0.2364
Priority Queue,1000,0.01,0.1237,0.0006,0.0166,0.0324
Binary Heap,1000,0.01,0.9658,0.1956,0.1001,0.5866
Bucket Queue,1000,0.01,0.2375,0.0030,0.0090,0.0380
LL Priority Queue,1000,0.01,0.4856,0.0027,0.0018,0.2926
Priority Queue,1000,0.01,0.2769,0.0006,0.0345,0.0440
Binary Heap,1000,0.01,1.3377,0.1892,0.1904,0.7565
Bucket Queue,1000,0.01,0.3061,0.0091,0.0105,0.0404
LL Priority Queue,1000,0.01,0.5260,0.0031,0.0023,0.2833
Priority Queue,1000,0.01,0.3175,0.0006,0.0372,0.0436
Binary Heap,1000,0.01,1.4499,0.1890,0.2143,0.7875
Bucket Queue,1000,0.01,0.3193,0.0030,0.0113,0.0371
LL Priority Queue,1000,0.01,0.5815,0.0081,0.0026,0.3060
Priority Queue,1000,0.01,0.3596,0.0006,0.0400,0.0468
Binary Heap,1000,0.01,1.3906,0.2079,0.2013,0.7196
Bucket Queue,1000,0.01,0.2231,0.0032,0.0076,0.0379
LL Priority Queue,1000,0.01,0.5007,0.0083,0.0017,0.3028
Priority Queue,1000,0.01,0.2579,0.0006,0.0324,0.0427
Binary Heap,1000,0.01,1.3302,0.2088,0.1812,0.7523
Bucket Queue,1000,0.01,0.3582,0.0035,0.0126,0.0446
LL Priority Queue,1000,0.01,0.6163,0.0025,0.0032,0.3028
Priority Queue,1000,0.01,0.4202,0.0007,0.0463,0.0528
Binary Heap,1000,0.01,1.5023,0.2172,0.2212,0.7686
Bucket Queue,1000,0.01,0.1202,0.0027,0.0032,0.0332
LL Priority Queue,1000,0.01,0.3250,0.0027,0.0008,0.2339
Priority Queue,1000,0.01,0.1390,0.0007,0.0188,0.0368
Binary Heap,1000,0.01,1.0350,0.1850,0.1107,0.6449
Bucket Queue,1000,0.01,0.2738,0.0086,0.0108,0.0384
LL Priority Queue,1000,0.01,0.4699,0.0030,0.0017,0.2789
Priority Queue,1000,0.01,0.2661,0.0006,0.0336,0.0426
Binary Heap,1000,0.01,1.3330,0.2099,0.1845,0.7431
Bucket Queue,1000,0.01,0.3230,0.0037,0.0120,0.0434
LL Priority Queue,1000,0.01,0.5669,0.0033,0.0025,0.3020
Priority Queue,1000,0.01,0.3546,0.0006,0.0400,0.0456
Binary Heap,1000,0.01,1.4257,0.2154,0.2100,0.7339
Bucket Queue,1000,0.01,0.1928,0.0027,0.0068,0.0374
LL Priority Queue,1000,0.01,0.4340,0.0231,0.0012,0.2708
Priority Queue,1000,0.01,0.2051,0.0007,0.0264,0.0385
Binary Heap,1000,0.01,1.1869,0.1924,0.1516,0.7010
Bucket Queue,1000,0.01,0.2260,0.0029,0.0072,0.0399
LL Priority Queue,1000,0.01,0.4790,0.0027,0.0017,0.3060
Priority Queue,1000,0.01,0.2671,0.0007,0.0353,0.0459
Binary Heap,1000,0.01,1.3873,0.2435,0.1784,0.7903
Bucket Queue,1000,0.01,0.1759,0.0031,0.0054,0.0404
LL Priority Queue,1000,0.01,0.3829,0.0028,0.0011,0.2633
Priority Queue,1000,0.01,0.1858,0.0006,0.0246,0.0415
Binary Heap,1000,0.01,1.2139,0.2161,0.1421,0.7291
Bucket Queue,1000,0.01,0.1850,0.0078,0.0073,0.0361
LL Priority Queue,1000,0.01,0.4361,0.0028,0.0013,0.2900
Priority Queue,1000,0.01,0.2017,0.0007,0.0266,0.0385
Binary Heap,1000,0.01,1.3702,0.2406,0.1657,0.8070
Bucket Queue,1000,0.01,0.2331,0.0027,0.0072,0.0448
LL Priority Queue,1000,0.01,0.4918,0.0025,0.0018,0.2928
Priority Queue,1000,0.01,0.2626,0.0012,0.0335,0.0469
Binary Heap,1000,0.01,1.2893,0.2002,0.1764,0.7336
Bucket Queue,1000,0.01,0.1084,0.0034,0.0028,0.0340
LL Priority Queue,1000,0.01,0.3186,0.0102,0.0007,0.2297
Priority Queue,1000,0.01,0.1310,0.0008,0.0176,0.0350
Binary Heap,1000,0.01,0.9073,0.1931,0.0901,0.5506
Bucket Queue,1000,0.01,0.3730,0.0036,0.0152,0.0434
LL Priority Queue,1000,0.01,0.5479,0.0025,0.0026,0.2776
Priority Queue,1000,0.01,0.3596,0.0063,0.0388,0.0430
Binary Heap,1000,0.01,1.4588,0.2035,0.2144,0.7617
Bucket Queue,1000,0.01,0.3191,0.0031,0.0105,0.0389
LL Priority Queue,1000,0.01,0.5615,0.0025,0.0026,0.2915
Priority Queue,1000,0.01,0.3424,0.0006,0.0376,0.0420
Binary Heap,1000,0.01,1.4299,0.2156,0.2053,0.7431
Bucket Queue,1000,0.01,0.2475,0.0030,0.0076,0.0412
LL Priority Queue,1000,0.01,0.4780,0.0030,0.0017,0.2934
Priority Queue,1000,0.01,0.2559,0.0006,0.0325,0.0445
Binary Heap,1000,0.01,1.3303,0.1951,0.1852,0.7592
Bucket Queue,1000,0.01,0.2023,0.0089,0.0053,0.0364
LL Priority Queue,1000,0.01,0.4446,0.0027,0.0015,0.2860
Priority Queue,1000,0.01,0.2271,0.0006,0.0297,0.0434
Binary Heap,1000,0.01,1.2456,0.1936,0.1646,0.7298
Bucket Queue,1000,0.01,0.2150,0.0027,0.0077,0.0368
LL Priority Queue,1000,0.01,0.4683,0.0091,0.0015,0.2938
Priority Queue,1000,0.01,0.2303,0.0007,0.0300,0.0420
Binary Heap,1000,0.01,1.3058,0.1944,0.1747,0.7681
Bucket Queue,1000,0.01,0.2897,0.0027,0.0103,0.0415
LL Priority Queue,1000,0.01,0.5107,0.0027,0.0020,0.2963
Priority Queue,1000,0.01,0.3159,0.0063,0.0373,0.0465
Binary Heap,1000,0.01,1.3946,0.1997,0.1991,0.7681
Bucket Queue,1000,0.01,0.3818,0.0037,0.0135,0.0464
